Altium Designer Pick and Place Locations
C:\Users\Stason\Desktop\Projects\ESP32\ai-meter\esp32-cam-shield\.\Fabrication Files\Pick Place\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       02.01.24
Time:       20:40
Revision:   d9e59299b6d42bc44744539acc0fbb68b625b2f2
Variant:    No variations
Units used: mm

Designator Comment              Layer    Footprint               Center-X(mm) Center-Y(mm) Rotation Description                                                                                                             
TP10       "Test point"         TopLayer TEST_POINT              22.2500      17.7250      90       ""                                                                                                                      
R13        "5 kOhms"            TopLayer RES_0603_1608           18.6555      5.7500       270      "RES SMD 5K OHM 0.1% 0.15W 0603"                                                                                        
5V         "Header 3"           TopLayer HDR1X3                  17.9850      38.2500      180      "Header, 3-Pin"                                                                                                         
3.3V       "Header 3"           TopLayer HDR1X3                  8.4650       38.2500      360      "Header, 3-Pin"                                                                                                         
LED1       "Bicolor 1615"       TopLayer LED_0603_1615_BICOLOR   22.5000      6.7500       360      "SMD SMT Light Emitting Diode 1.6*0.8*0.6MM"                                                                            
S1         "Mini Slide Switch"  TopLayer MINI_SLIDE_SWITCH       4.7250       4.1750       180      "7 Pin Mini Slide Switch On-OFF 2Position Micro Slide Toggle Switch 1P2T H=1.5MM Miniature Horizontal Slide Switch SMD" 
S2         EVQ-P7A01P           TopLayer EVQ-P7A01P              22.5292      3.0000       0        "SWITCH TACTILE SPST-NO 0.05A 12V"                                                                                      
U4         TPS62A01ADRLR        TopLayer TI_SOT-563_DRL          11.2050      32.1600      0        "IC REG BUCK ADJ 1A SOT563"                                                                                             
U3         CH340G               TopLayer TI_SOP-16_D             12.2000      15.0000      270      "USB to UART Interface"                                                                                                 
U2         DW03D                TopLayer TI_MSOP-8_DGS           17.7500      26.7500      360      "2-in-1 lithium battery protection IC"                                                                                  
U1         TP4057               TopLayer TI_SOT-23-6_DDC         16.2500      21.6500      90       "SOT23-6 BATTERY MANAGEMENT ICS R"                                                                                      
GND        "Test point"         TopLayer TEST_POINT              16.6450      6.3000       90       ""                                                                                                                      
D+         "Test point"         TopLayer TEST_POINT              14.7000      6.3000       90       ""                                                                                                                      
D-         "Test point"         TopLayer TEST_POINT              12.8350      6.3000       90       ""                                                                                                                      
VCC        "Test point"         TopLayer TEST_POINT              11.0000      6.3000       0        ""                                                                                                                      
R12        "10 kOhms"           TopLayer RES_0603_1608           22.2500      20.0000      90       "RES SMD 10K OHM 1% 1/10W 0603"                                                                                         
R11        "100 kOhms"          TopLayer RES_0603_1608           22.2500      23.1000      90       "PTN0603 10PPM 100K 0.1% S T1 E1"                                                                                       
